Time,X,Y,Z
174937,0.087891,1,0.08252
175027,0.087891,1,0.08252
175122,0.087891,1,0.08252
175213,0.087891,1,0.08252
175578,0.087891,1,0.08252
175730,0.087891,1,0.08252
175938,0.087891,1,0.08252
176503,0.087891,1,0.08252
176600,0.087891,1,0.08252
176689,0.087891,1,0.08252
177017,0.087891,1,0.08252
177374,0.087891,1,0.08252
177677,0.087891,1,0.08252
178291,0.087891,1,0.08252
178383,0.087891,1,0.08252
178477,0.087891,1,0.08252
178623,0.087891,1,0.08252
179423,0.087891,1,0.08252
180243,0.087891,1,0.08252
180334,0.087891,1,0.08252
180661,0.087891,1,0.08252
180750,0.087891,1,0.08252
180843,0.087891,1,0.08252
181064,0.087891,1,0.08252
181156,0.087891,1,0.08252
181188,0.087891,1,0.08252
181282,0.087891,1,0.08252
181896,0.087891,1,0.08252
181989,0.087891,1,0.08252
182139,0.087891,1,0.08252
182231,0.087891,1,0.08252
182444,0.087891,1,0.08252
182650,0.087891,1,0.08252
182740,0.087891,1,0.08252
182888,0.087891,1,0.08252
183312,0.087891,1,0.08252
183405,0.087891,1,0.08252
183619,0.087891,1,0.08252
184386,0.087891,1,0.08252
184532,0.087891,1,0.08252
184793,0.087891,1,0.08252
184883,0.087891,1,0.08252
185248,0.087891,1,0.08252
185399,0.087891,1,0.08252
185431,0.087891,1,0.08252
185817,0.087891,1,0.08252
186023,0.087891,1,0.08252
186688,0.087891,1,0.08252
187192,0.087891,1,0.08252
187459,0.087891,1,0.08252
187602,0.087891,1,0.08252
187695,0.087891,1,0.08252
188590,0.087891,1,0.08252
188675,0.087891,1,0.08252
